url,title,path,qry
https://www.facebook.com/RepCharlieCrist/,Congressman Charlie Crist - Home | Facebook,RepCharlieCrist,Charlie Crist
https://www.facebook.com/RepTimBurchett/,Congressman Tim Burchett - Home | Facebook,RepTimBurchett,Tim Burchett
https://af-za.facebook.com/congressmansablan/posts/?ref=page_internal,,congressmansablan,Gregorio Sablan
https://www.facebook.com/RepAndyBiggs/,Congressman Andy Biggs - Home | Facebook,RepAndyBiggs,Andy Biggs
https://www.facebook.com/CongresswomanSusanWBrooks/,Congresswoman Susan W. Brooks - Home | Facebook,CongresswomanSusanWBrooks,Susan Brooks
https://www.facebook.com/CongressmanDennyHeck/,Congressman Denny Heck - Home | Facebook,CongressmanDennyHeck,Denny Heck
https://www.facebook.com/DrPhilRoe/,Dr. Phil Roe - Home | Facebook,DrPhilRoe,Phil Roe
https://www.facebook.com/RepBenRayLujan/,Ben Ray Luján - Home | Facebook,RepBenRayLujan,Ben Ray Luján
https://www.facebook.com/RepBrianHiggins/,Brian Higgins - Home | Facebook,RepBrianHiggins,Brian Higgins
https://www.facebook.com/RepJimmyGomez/,Rep. Jimmy Gomez - Home | Facebook,RepJimmyGomez,Jimmy Gomez
https://www.facebook.com/RepRooney/,Congressman Francis Rooney - Home | Facebook,RepRooney,Francis Rooney
https://www.facebook.com/Gallagher.Mike/,Mike Gallagher - Home | Facebook,Gallagher.Mike,Mike Gallagher
https://www.facebook.com/himesforcongress/,Jim Himes - Home | Facebook,himesforcongress,Jim Himes
https://www.facebook.com/BilirakisForCongress/,,BilirakisForCongress,Gus Bilirakis
https://www.facebook.com/RepRobWoodall/,Representative Rob Woodall - Home | Facebook,RepRobWoodall,Rob Woodall
https://www.facebook.com/RepKendraHorn/,Congresswoman Kendra Horn - Home | Facebook,RepKendraHorn,Kendra Horn
https://www.facebook.com/GReschenthaler/,Congressman Guy Reschenthaler - Home | Facebook,GReschenthaler,Guy Reschenthaler
https://www.facebook.com/VoteTimmons/,William Timmons - Home | Facebook,VoteTimmons,William Timmons
https://www.facebook.com/repohalleran,Rep. Tom O'Halleran - Home | Facebook,repohalleran,Tom O'Halleran
https://www.facebook.com/RepArmstrongND,Congressman Kelly Armstrong - Home | Facebook,RepArmstrongND,Kelly Armstrong
https://www.facebook.com/herrerabeutler,Jaime Herrera Beutler - Home | Facebook,herrerabeutler,Jaime Herrera Beutler
https://www.facebook.com/lancegoodenfortexas/,Lance Gooden - Home | Facebook,lancegoodenfortexas,Lance Gooden
https://www.facebook.com/CarbajalForCongress/,,CarbajalForCongress,Salud Carbajal
https://www.facebook.com/DrKimSchrier/,Dr. Kim Schrier - Home | Facebook,DrKimSchrier,Kim Schrier
https://www.facebook.com/CongressmanFredKeller,Congressman Fred Keller - Home | Facebook,CongressmanFredKeller,Fred Keller
https://www.facebook.com/repmacthornberry/,Mac Thornberry - Home | Facebook,repmacthornberry,Mac Thornberry
https://www.facebook.com/charliecrist/,Charlie Crist - Home | Facebook,charliecrist,Charlie Crist
https://www.facebook.com/AndyKimNJ/,Andy Kim for Congress - Home | Facebook,AndyKimNJ,Andy Kim
https://www.facebook.com/RepVanTaylor/posts/2194185224018929,,RepVanTaylor,Van Taylor
https://www.facebook.com/sanfordbishop/,Congressman Sanford Bishop - Home | Facebook,sanfordbishop,Sanford Bishop
https://www.facebook.com/RepTulsiGabbard/,Congresswoman Tulsi Gabbard - Home | Facebook,RepTulsiGabbard,Tulsi Gabbard
https://www.facebook.com/Mike-Simpson-96007744606/,Mike Simpson - Home | Facebook,Mike-Simpson-96007744606,Mike Simpson
https://www.facebook.com/StewartForUtah/,Chris Stewart - Home | Facebook,StewartForUtah,Chris Stewart
https://www.facebook.com/CongressmanGaryPalmer/posts/its-great-having-my-wife-ann-in-dc-were-looking-forward-to-hearing-president-tru/1165127230284507/,,CongressmanGaryPalmer,Gary Palmer
https://www.facebook.com/RepCollinPeterson/,Rep. Collin Peterson - Home | Facebook,RepCollinPeterson,Collin Peterson
https://www.facebook.com/pramila.jayapal/,Pramila Jayapal - Home | Facebook,pramila.jayapal,Pramila Jayapal
https://www.facebook.com/PingreeForCongress/,Chellie Pingree - Home | Facebook,PingreeForCongress,Chellie Pingree
https://www.facebook.com/NealforCongress/,Richard Neal - Home | Facebook,NealforCongress,Richard Neal
https://www.facebook.com/CongressmanTedYoho,Congressman Ted Yoho - Home | Facebook,CongressmanTedYoho,Ted Yoho
https://www.facebook.com/GregPenceIN/,Greg Pence - Home | Facebook,GregPenceIN,Greg Pence
https://www.facebook.com/McGovernForCongress/,Jim McGovern - Home | Facebook,McGovernForCongress,Jim McGovern
https://www.facebook.com/RepGianforte/,Congressman Greg Gianforte - Home | Facebook,RepGianforte,Greg Gianforte
https://www.facebook.com/CongressmanBoyle/,Congressman Brendan Boyle - Home | Facebook,CongressmanBoyle,Brendan Boyle
https://www.facebook.com/RepKimSchrier/posts,Congresswoman Kim Schrier - Posts | Facebook,RepKimSchrier,Kim Schrier
https://www.facebook.com/RepMikeGallagher/,Rep. Mike Gallagher - Home | Facebook,RepMikeGallagher,Mike Gallagher
https://www.facebook.com/RepRossSpano/,Representative Ross Spano - Home | Facebook,RepRossSpano,Ross Spano
https://www.facebook.com/ColinAllredTX/,Colin Allred - Home | Facebook,ColinAllredTX,Colin Allred
https://www.facebook.com/RepJackieWalorski/,Rep. Jackie Walorski - Home | Facebook,RepJackieWalorski,Jackie Walorski
https://www.facebook.com/repgregwalden/,Greg Walden - Home | Facebook,repgregwalden,Greg Walden
https://www.facebook.com/pages/Congressman-Tom-McClintock/81125319109,Congressman Tom McClintock - Home | Facebook,pages,Tom McClintock
https://www.facebook.com/CongresswomanEBJtx30/,Eddie Bernice Johnson - Home | Facebook,CongresswomanEBJtx30,Eddie Bernice Johnson
https://www.facebook.com/albiosiresnj/,,albiosiresnj,Albio Sires
https://www.facebook.com/DonaldNorcrossNJ/photos/,,DonaldNorcrossNJ,Donald Norcross
https://www.facebook.com/repdanlipinski/,Congressman Dan Lipinski - Home | Facebook,repdanlipinski,Dan Lipinski
https://www.facebook.com/RepBillFlores/,Rep. Bill Flores - Home | Facebook,RepBillFlores,Bill Flores
https://www.facebook.com/RepTomRice,Congressman Tom Rice - Home | Facebook,RepTomRice,Tom Rice
https://www.facebook.com/jbadventurer/,Jim Baird - Adventurer - Home | Facebook,jbadventurer,Jim Baird
https://www.facebook.com/RepRickLarsen/,Congressman Rick Larsen - Home | Facebook,RepRickLarsen,Rick Larsen
https://www.facebook.com/MeuserforCongress/,Dan Meuser for Congress - Home | Facebook,MeuserforCongress,Dan Meuser
https://www.facebook.com/RepChrisStewart,Congressman Chris Stewart - Home | Facebook,RepChrisStewart,Chris Stewart
https://www.facebook.com/repmichaelwaltz/,Representative Michael Waltz - Home | Facebook,repmichaelwaltz,Michael Waltz
https://www.facebook.com/RepRichHudson/posts/happy-birthday-president-donald-j-trump/1563031360501094/,,RepRichHudson,Richard Hudson
https://www.facebook.com/CongressmanRalphAbraham,Congressman Ralph Abraham - Home | Facebook,CongressmanRalphAbraham,Ralph Abraham
https://www.facebook.com/rephuizenga/videos/a-3-trillion-give-away-from-the-international-monetary-fund/3239183482794283/,A 3 TRILLION give away from the... - Rep. Bill Huizenga,rephuizenga,Bill Huizenga
https://www.facebook.com/RepDarrenSoto/,US Rep Darren Soto - Home | Facebook,RepDarrenSoto,Darren Soto
https://www.facebook.com/RepLowey/,Congresswoman Nita Lowey - Home | Facebook,RepLowey,Nita Lowey
https://www.facebook.com/RepByrne,U.S. Representative Bradley Byrne - Home | Facebook,RepByrne,Bradley Byrne
https://www.facebook.com/JohnLarsonCT/photos/,,JohnLarsonCT,John B. Larson
https://www.facebook.com/RepKennyMarchant/,Kenny Marchant - Home | Facebook,RepKennyMarchant,Kenny Marchant
https://m.facebook.com/biggsforcongress/,,biggsforcongress,Andy Biggs
https://www.facebook.com/RepBenMcAdams/,Rep. Ben McAdams - Home | Facebook,RepBenMcAdams,Ben McAdams
https://www.facebook.com/katunews/videos/jaime-herrera-beutler-and-her-democratic-challenger-carolyn-long-hold-a-debate/1746708428826075/,Jaime Herrera Beutler and her Democratic challenger Carolyn ...,katunews,Jaime Herrera Beutler
https://www.facebook.com/RepBrianBabin,Rep. Brian Babin - Home | Facebook,RepBrianBabin,Brian Babin
https://www.facebook.com/AndyKimMusic/,Andy Kim - Home | Facebook,AndyKimMusic,Andy Kim
https://www.facebook.com/repgaramendi/posts,Congressman John Garamendi - Posts | Facebook,repgaramendi,John Garamendi
https://www.facebook.com/sendarrensoto,Darren Soto | Facebook,sendarrensoto,Darren Soto
https://www.facebook.com/DrNealDunnFL2/,"Congressman Neal Dunn, M.D. - Home | Facebook",DrNealDunnFL2,Neal Dunn
https://www.facebook.com/repgracemeng,Grace Meng - Home | Facebook,repgracemeng,Grace Meng
https://www.facebook.com/CongressmanClayMO1/,Congressman Wm. Lacy Clay - Home | Facebook,CongressmanClayMO1,Lacy Clay
https://www.facebook.com/Representative.Martha.Roby/,Representative Martha Roby - Home | Facebook,Representative.Martha.Roby,Martha Roby
https://www.facebook.com/RepSusanDavis/,Congresswoman Susan Davis - Home | Facebook,RepSusanDavis,Susan Davis
https://www.facebook.com/CongressmanSteveWatkins/,Congressman Steve Watkins - Home | Facebook,CongressmanSteveWatkins,Steve Watkins
https://www.facebook.com/BlaineLuetkemeyer/,Blaine Luetkemeyer - Home | Facebook,BlaineLuetkemeyer,Blaine Luetkemeyer
https://www.facebook.com/KathyCastor/,Kathy Castor - Home | Facebook,KathyCastor,Kathy Castor
https://www.facebook.com/donaldmceachinva/,,donaldmceachinva,Donald McEachin
https://www.facebook.com/RepKClark/,Congresswoman Katherine Clark - Home | Facebook,RepKClark,Katherine Clark
https://www.facebook.com/Michael-Quigley-Plumbing-Heating-126768367376430/,Michael Quigley Plumbing & Heating,Michael-Quigley-Plumbing-Heating-126768367376430,Mike Quigley
https://www.facebook.com/repseanmaloney/posts/proud-to-have-my-amazing-family-here-to-celebrate-this-historic-day/2259734694039340/,,repseanmaloney,Sean Patrick Maloney
https://www.facebook.com/VoteEdCase/,,VoteEdCase,Ed Case
https://www.facebook.com/JaredGoldenforCongress/,Jared Golden - Home | Facebook,JaredGoldenforCongress,Jared Golden
https://www.facebook.com/RepBrianFitzpatrick/,Congressman Brian Fitzpatrick - Home | Facebook,RepBrianFitzpatrick,Brian Fitzpatrick
https://www.facebook.com/electadam/,Adam Kinzinger - Home | Facebook,electadam,Adam Kinzinger
https://www.facebook.com/RepTorresSmall/videos/you-will-start-to-receive-mail-from-the-us-census-bureau-today-with-information-/1744234122400634/,You will start to receive mail from the... - Representative ...,RepTorresSmall,Xochitl Torres Small
https://www.facebook.com/CongressmanClayHiggins/videos/higgins-were-not-going-to-take-it-anymore/500711663953967/,Higgins: We're Not Going to Take It Anymore,CongressmanClayHiggins,Clay Higgins
https://www.facebook.com/CheneyLiz/,Liz Cheney - Home | Facebook,CheneyLiz,Liz Cheney
https://www.facebook.com/CongressmanMikeDRogers/,,CongressmanMikeDRogers,Mike Rogers
https://www.facebook.com/HarleyforCongress/,Harley Rouda - Home | Facebook,HarleyforCongress,Harley Rouda
https://www.facebook.com/CongressmanComer/posts,,CongressmanComer,James Comer
https://www.facebook.com/KevinBrady,Rep. Kevin Brady - Home | Facebook,KevinBrady,Kevin Brady
https://www.facebook.com/RepTorresSmall/,Representative Xochitl Torres Small - Home | Facebook,RepTorresSmall,Xochitl Torres Small
https://www.facebook.com/ElectDavidScott/,David Scott for Congress - Home | Facebook,ElectDavidScott,David Scott
https://www.facebook.com/congressman-tom-mcclintock-81125319109/,Congressman Tom McClintock - Home | Facebook,congressman-tom-mcclintock-81125319109,Tom McClintock
https://www.facebook.com/JohnRoseforTN/posts/happy-anniversary-to-my-wife-chelsea-who-is-truly-my-partner-in-life-and-is-a-wo/748755128842205/,,JohnRoseforTN,John Rose
https://www.facebook.com/captclayhiggins/,Captain Clay Higgins - Home | Facebook,captclayhiggins,Clay Higgins
https://www.facebook.com/CongresswomanWexton,Congresswoman Jennifer Wexton - Home | Facebook,CongresswomanWexton,Jennifer Wexton
https://www.facebook.com/RepNewhouse/videos/newhouse-votes-against-great-american-outdoors-act/616013589329306/,,RepNewhouse,Dan Newhouse
https://www.facebook.com/RepJoeCunningham/,Rep. Joe Cunningham - Home | Facebook,RepJoeCunningham,Joe Cunningham
https://www.facebook.com/RepTorresSmall/videos/congresswoman-torres-small-hometown-heroes-town-hall/830558287756331/,"Representative Xochitl Torres Small - Congresswoman Torres Small - Hometown 
Heroes Town Hall",RepTorresSmall,Xochitl Torres Small
https://www.facebook.com/RepBrianBabin/,Rep. Brian Babin - Home | Facebook,RepBrianBabin,Brian Babin
https://www.facebook.com/RepVanTaylor/posts/celebrating-the-achievements-of-tomorrows-leaders-is-always-a-highlight-of-repre/2194185224018929/,,RepVanTaylor,Van Taylor
https://www.facebook.com/MarthaRobyForCongress/,,MarthaRobyForCongress,Martha Roby
https://www.facebook.com/adriansmithfanpage/photos/d41d8cd9/1043221542500519/,,adriansmithfanpage,Adrian Smith
https://www.facebook.com/RogerMarshallMD/,"Congressman Roger Marshall, M.D. - Home | Facebook",RogerMarshallMD,Roger Marshall
https://www.facebook.com/philarballo2020/videos/devin-nunes-unfit-to-serve/215851986370213/,Phil Arballo for Congress - Devin Nunes: Unfit to Serve,philarballo2020,Devin Nunes
https://www.facebook.com/repgaramendi/posts/,Congressman John Garamendi - Posts | Facebook,repgaramendi,John Garamendi
https://www.facebook.com/JoeCunninghamSC/videos/joe-cunningham-cheers/341363290217910/,Joe Cunningham - Joe Cunningham - Cheers,JoeCunninghamSC,Joe Cunningham
https://www.facebook.com/RepRichHudson/posts/1563031360501094,,RepRichHudson,Richard Hudson
https://www.facebook.com/reploritrahan,Congresswoman Lori Trahan - Home | Facebook,reploritrahan,Lori Trahan
https://www.facebook.com/repcuellar/,U.S. Congressman Henry Cuellar (TX-28) - Home | Facebook,repcuellar,Henry Cuellar
https://www.facebook.com/RepRiggleman/,Congressman Denver Riggleman - Home | Facebook,RepRiggleman,Denver Riggleman
https://www.facebook.com/RepFrenchHill/videos/rep-french-hill-pushes-for-small-business-relief-on-the-house-floor/3861679107194122/,Rep. French Hill Pushes for Small Business Relief on the ...,RepFrenchHill,French Hill
https://www.facebook.com/repmaxrose,Congressman Max Rose - Home | Facebook,repmaxrose,Max Rose
https://www.facebook.com/RepGolden/,Congressman Jared Golden - Home | Facebook,RepGolden,Jared Golden
https://www.facebook.com/BabinForCongress/,,BabinForCongress,Brian Babin
https://www.facebook.com/austinscottentertainment/,,austinscottentertainment,Austin Scott
https://www.facebook.com/hoyerforcongress/,,hoyerforcongress,Steny Hoyer
https://www.facebook.com/paul.tonko/,Paul Tonko for Congress - Home | Facebook,paul.tonko,Paul Tonko
https://www.facebook.com/RepDonBeyer,Congressman Don Beyer - Home | Facebook,RepDonBeyer,Don Beyer
