domain,counts
twitter.com,69176049
house.gov,37807826
wikipedia.org,20361206
ballotpedia.org,18272995
govtrack.us,16055696
facebook.com,15806400
congress.gov,14701519
youtube.com,3969959
politico.com,2371978
texastribune.org,1991478
nytimes.com,1766857
gop.gov,1576475
thehill.com,1342606
washingtonpost.com,1175540
cnn.com,1105608
rollcall.com,1022686
opensecrets.org,916820
foxnews.com,892915
newsweek.com,824565
cq.com,813229
floridapolitics.com,807512
cbslocal.com,793787
c-span.org,660181
patch.com,596159
apnews.com,556577
nbcnews.com,492336
latimes.com,478130
votesmart.org,384384
insidernj.com,377205
wsj.com,352859
law360.com,350966
houstonchronicle.com,350153
alreporter.com,345468
yahoo.com,340094
azcentral.com,335690
chicagotribune.com,335331
marijuanamoment.net,332233
spectrumnews1.com,327318
dallasnews.com,308434
go.com,295607
cleveland.com,288532
nj.com,284305
ocregister.com,276843
detroitnews.com,267107
suntimes.com,247560
eenews.net,246771
startribune.com,238216
npr.org,236505
thenevadaindependent.com,234299
mlive.com,229913
tampabay.com,227606
maryland.gov,227377
cpr.org,217952
jewishinsider.com,216092
spectrumlocalnews.com,215577
nypost.com,212667
cnbc.com,212320
jsonline.com,211640
theintercept.com,206567
theadvocate.com,202997
inquirer.com,201015
usatoday.com,199839
kansascity.com,192746
cbsnews.com,188845
ajc.com,186019
post-gazette.com,185370
newsday.com,183230
yellowhammernews.com,182665
postandcourier.com,182065
lancasteronline.com,179471
businessinsider.com,178936
triblive.com,176881
billtrack50.com,173230
newsobserver.com,165828
dailyherald.com,163776
usnews.com,163451
propublica.org,163270
courthousenews.com,161355
abc17news.com,159423
statesman.com,159046
forbes.com,157918
coloradopolitics.com,155923
syracuse.com,150413
civilbeat.org,145938
deseret.com,144519
nydailynews.com,143688
thestate.com,141210
masslive.com,139644
reviewjournal.com,139634
cityandstateny.com,139069
desmoinesregister.com,139018
fresnobee.com,136500
theguardian.com,136207
omaha.com,135946
oklahoman.com,135496
news4jax.com,129926
axios.com,129801
goldrushcam.com,129612
sltrib.com,128624
wbur.org,128596
timesunion.com,126673
azpbs.org,126361
myfloridahouse.gov,126133
newjerseyglobe.com,125150
wfmz.com,124279
georgiarecorder.com,123499
trackbill.com,123455
dispatch.com,122669
bgov.com,122494
time.com,119961
biography.com,119706
gazettextra.com,118439
sun-sentinel.com,118141
bizjournals.com,117020
loc.gov,115989
bostonglobe.com,115033
lasvegassun.com,114854
sfchronicle.com,111893
tapinto.net,111725
minnpost.com,110926
ctinsider.com,110460
nola.com,110059
baseball-reference.com,109188
radio.com,108754
erienewsnow.com,108583
thetexan.news,108479
orlandosentinel.com,108300
state.pa.us,107370
baltimoresun.com,106804
jewishvirtuallibrary.org,104819
foxwilmington.com,104660
baynews9.com,104328
wtvm.com,103864
bostonherald.com,103700
kpbs.org,103624
nextgov.com,103340
wibw.com,103334
miamiherald.com,102943
auburnpub.com,101633
wamc.org,101081
indystar.com,101065
tulsaworld.com,100731
witn.com,100479
11alive.com,99957
nwaonline.com,98560
richmond.com,98356
spokesman.com,97500
mcall.com,97294
denverpost.com,97180
foxbusiness.com,96687
ktvz.com,96553
bangordailynews.com,96543
msnbc.com,96541
jimbanks.us,96080
vox.com,96037
bloomberglaw.com,94934
arkansasonline.com,94169
13newsnow.com,94071
jenniferwexton.com,93276
wmur.com,93151
wbtv.com,92698
bigrapidsnews.com,92461
buzzfeednews.com,90324
abc6onyourside.com,90018
palmbeachpost.com,89787
mprnews.org,89506
mlb.com,89057
wdam.com,88749
suozziforcongress.com,88459
instagram.com,88176
wright4congress.com,88042
fox8.com,87787
michiganadvance.com,87649
abc7news.com,87079
bozemandailychronicle.com,86792
timesfreepress.com,86438
ny1.com,85679
abc30.com,85310
stephaniemurphyforcongress.com,85253
unionleader.com,85125
djournal.com,85103
1011now.com,84841
expressnews.com,83712
wfmynews2.com,82879
netnebraska.org,82773
marylandmatters.org,82037
ctmirror.org,81914
theeagle.com,81645
toledoblade.com,81363
espn.com,81357
nysenate.gov,80918
abc10.com,80178
cbssports.com,80149
wabe.org,79735
gazette.com,79704
michaelwaltz.com,79539
wfmj.com,79491
victoriaadvocate.com,79239
courant.com,79232
kentucky.com,79001
paynejr4congress.com,78917
govinfo.gov,78705
tallahassee.com,78242
wsls.com,78141
wshu.org,78033
charlotteobserver.com,78025
ideastream.org,77755
bloomberg.com,77451
ttnews.com,77009
kansas.com,76819
ncpolicywatch.org,76817
thecentersquare.com,76516
seattletimes.com,75851
nymag.com,75365
adamsmith.org,75049
opb.org,75030
courier-journal.com,74947
ncleg.gov,74940
witf.org,74768
thedailybeast.com,74281
xochforcongress.com,74229
theherald-news.com,73896
kait8.com,73853
castenforcongress.com,73541
pennlive.com,73277
modbee.com,72904
cbs58.com,72683
ky3.com,72630
liherald.com,72449
kbtx.com,72363
ketv.com,72354
electsmuckerpa.com,72113
stripes.com,72037
star-telegram.com,71987
washingtonexaminer.com,71963
heraldonline.com,71580
yourdailyjournal.com,71530
houstonpublicmedia.org,71459
riograndeguardian.com,71362
mysuburbanlife.com,71308
buffalonews.com,71303
hollandsentinel.com,71246
khn.org,71080
republicanleader.gov,70970
cbs4indy.com,70796
fedscoop.com,70763
agri-pulse.com,70733
susieleeforcongress.com,70555
wbrc.com,70475
fronterasdesk.org,70325
kshb.com,69633
whittierdailynews.com,69398
wflx.com,69394
heraldextra.com,69192
kwch.com,69174
britannica.com,68995
govexec.com,68577
al.com,68542
wildforcongress.com,68528
abc7chicago.com,67643
tribdem.com,67611
marketwatch.com,67434
wftv.com,67267
sanjosespotlight.com,67044
ktar.com,66227
nbcconnecticut.com,66099
reuters.com,66061
herald-review.com,65847
lucyforcongress.com,65779
voanews.com,65488
broadbandbreakfast.com,65419
everythinglubbock.com,64655
cisnerosforcongress.com,64550
kiro7.com,64480
azmirror.com,64442
bemidjipioneer.com,64397
nwitimes.com,64343
tribstar.com,64015
almaadamsforcongress.com,63952
pix11.com,63934
fox2now.com,63857
insurancenewsnet.com,63819
kcra.com,63520
keranews.org,63483
postregister.com,62920
graydc.com,62740
wsiltv.com,62622
actionnewsjax.com,62515
wbir.com,62089
dailyjournal.net,62031
shariceforcongress.com,61949
jimlangevin.com,61791
cincinnati.com,61703
abc27.com,61682
homelandprepnews.com,61357
santafenewmexican.com,60956
chci.org,60761
oregonlive.com,60519
bethel.com,59783
petoskeynews.com,59678
electralphnorman.com,59663
meritalk.com,59247
greenvilleonline.com,58867
nbc12.com,58769
greensboro.com,58573
rollingstone.com,58240
insidenova.com,58237
richardhudson.org,58224
indexjournal.com,58077
theroot.com,57984
portcitydaily.com,57966
clickondetroit.com,57818
colinallred.com,57614
underwoodforcongress.com,57372
healthcareitnews.com,57092
jasoncrowforcongress.com,56775
nbcboston.com,56746
eagletribune.com,56735
13wham.com,56681
nmpoliticalreport.com,56507
txdirectory.com,56261
roanoke.com,56188
wmcactionnews5.com,56129
investopedia.com,55989
kmov.com,55976
daytondailynews.com,55909
andykimforcongress.com,55666
koco.com,55552
adamschiff.com,55498
penncapital-star.com,55242
sandiegouniontribune.com,55064
capecod.com,54834
qctimes.com,54648
themonitor.com,54472
wtvq.com,54358
freep.com,54355
wvmetronews.com,54227
kjzz.org,54182
northjersey.com,54141
thegazette.com,53911
dailynews.com,53727
michiganradio.org,53560
chrispappas.org,53542
localnews8.com,53490
senate.gov,53487
adn.com,53419
kcrg.com,53409
thefencepost.com,53370
congressionalsportsmen.org,53087
kuow.org,52897
fox56.com,52674
heraldmailmedia.com,52673
lizziefletcher.com,52527
midhudsonnews.com,52354
hometownsource.com,52332
morningconsult.com,52313
dtnpf.com,52184
komu.com,52050
yallpolitics.com,52006
pbs.org,51808
wptv.com,51760
ilhanomar.com,51698
mynews13.com,51620
hoyerforcongress.com,51545
nealdunn.com,51312
phillipsforcongress.org,51002
nealforcongress.com,50824
kvue.com,50737
marinecorpstimes.com,50510
state.nv.us,50445
wtkr.com,50191
andylevinforcongress.com,50100
wjct.org,50027
bakersfield.com,49766
noozhawk.com,49762
larsonforcongress.org,49620
wsvn.com,49611
miketurner.com,49382
speaker.gov,49286
kbia.org,49285
donaldnorcrossforcongress.com,49239
southbendtribune.com,49190
kustoffforcongress.com,49147
johnrose.com,48979
electjimbaird.com,48924
crenshawforcongress.com,48906
majorityleader.gov,48903
wyff4.com,48894
prnewswire.com,48893
abcactionnews.com,48845
anthonybrown.com,48828
brettguthrie.com,48822
simpsonforcongress.com,48822
brindisiforcongress.com,48743
mikethompsonforcongress.com,48712
dwightevans.com,48669
meetrickcrawford.com,48657
morgangriffithforcongress.com,48643
fredkellerforcongress.com,48641
defazioforcongress.org,48527
katieporter.com,48523
bucshonforcongress.com,48457
karenbass.com,48447
fcw.com,48447
bobgibbsforcongress.com,48426
pallonefornewjersey.com,48424
barbaraleeforcongress.org,48415
themobmuseum.org,48411
hudsonreporter.com,48402
joecunninghamforcongress.com,48394
joinpaulcook.com,48385
chuckforcongress.com,48384
eliseforcongress.com,48344
standwithraul.com,48342
jimmcgovern.com,48339
clyburnforcongress.com,48332
cathyforcongress.com,48328
mikeonline.com,48328
jamieraskin.com,48327
voteboyle.com,48324
gallegoforarizona.com,48324
jerrynadler.com,48320
cicilline.com,48313
mikeforwisconsin.com,48306
chelliepingree.com,48297
stantonforarizona.com,48293
billfoster.com,48288
gwenmooreforcongress.com,48257
patriotsforperry.com,48253
kellyformississippi.com,48252
yarmuthforcongress.com,48249
bradyforcongress.com,48233
pocanforcongress.com,48233
calvertforcongress.com,48208
carolynmaloney.com,48204
sanfordbishop.com,48203
kalb.com,48198
friendsofglennthompson.com,48192
michaelmccaul.com,48178
marktakano.com,48169
joecourtney.com,48166
virginiafoxx.com,48162
jimmypanetta.com,48141
friendsofdonbeyer.com,48140
burchettforcongress.com,48135
donjbacon.com,48127
jahanahayes.com,48124
napolitanoforcongress.com,48115
lisabluntrochester.com,48095
garretgraves.com,48095
motherjones.com,48079
allmusic.com,48073
janschakowsky.org,48071
bonnieforcongress.com,48062
electadam.com,48050
vickyhartzler.com,48043
bostforcongress.com,48022
mchenryforcongress.com,48022
donaldmceachin.com,48020
energy.gov,48020
joeneguseforcongress.com,48010
lambornforcongress.org,48010
palmerforalabama.com,48001
alceeforcongress.com,47994
loucorrea.com,47983
lahoodforcongress.com,47976
jimmygomezforcongress.com,47962
stevestivers.com,47953
bencline.com,47951
cartwrightcongress.com,47949
bonamiciforcongress.com,47948
andrecarson.com,47948
tedlieu.com,47935
utm.edu,47922
bradsherman.com,47920
kansansformarshall.com,47919
debbiedingellforcongress.com,47904
jimhagedorn.org,47898
russfulcher.com,47898
katherineclark.org,47895
davidschweikert.com,47895
andyharris.com,47894
michaelguest.ms,47892
drraulruiz.com,47889
brianfitzpatrick.com,47886
majoritywhip.gov,47873
buckforcolorado.com,47871
mastforcongress.com,47870
robwittman.com,47869
bobbyrushbluesman.com,47858
walbergforcongress.com,47858
marcveasey.com,47851
baldersonforcongress.com,47848
glenngrothman.com,47848
barraganforcongress.com,47833
kusterforcongress.com,47825
billposey.com,47821
tommcclintock.com,47813
electfrench.com,47811
emmerforcongress.com,47806
votejaime.com,47806
azfamily.com,47791
kurtschrader.com,47785
gregpenceforcongress.com,47773
beraforcongress.com,47771
mikiesherrill.com,47766
annaeshoo4congress.com,47755
zeldinforcongress.com,47752
ronkind.org,47749
tedbudd.com,47748
randyweber.org,47745
loritrahan.com,47736
johnsarbanes.com,47734
dennyheck.com,47729
votedanbishop.com,47722
blaineforcongress.com,47720
saludcarbajal.com,47714
darrensoto.com,47711
zoelofgren.com,47708
elissaforcongress.com,47699
rosadelauro.com,47693
vicentegonzalez.com,47682
henrycuellar.com,47674
degette.com,47668
castorforcongress.com,47667
haleystevensforcongress.com,47659
jodeyarrington.com,47659
stephenflynch.com,47655
kesq.com,47648
abqjournal.com,47640
rickwallen.com,47637
prescottenews.com,47635
murphy4congress.com,47634
debforcongress.com,47632
tomreedforcongress.com,47630
brendalawrence.com,47624
ricklarsen.org,47619
billylongforcongress.com,47593
scanlonforcongress.com,47593
tedforcongress.com,47590
cheribustos.com,47582
standwithjackie.com,47578
desaulnierforcongress.com,47577
voteforlinda.com,47573
usabrad.com,47544
tomohalleran.com,47542
jaredhuffman.com,47539
adrianoespaillat.com,47532
rajaforcongress.com,47526
votefortrey.com,47525
vantaylor.com,47521
mccollumforcongress.com,47513
tonycardenasforcongress.com,47513
judychu.org,47513
davidrouzer.com,47507
timryanforcongress.com,47505
perlmutterforcolorado.com,47504
gravesforcongress.com,47492
huizengaforcongress.com,47474
stanford.edu,47459
votemorelle.com,47447
valdemings.com,47443
cqrcengage.com,47442
thomasmassie.com,47438
stevechabot.com,47434
johnkatkoforcongress.com,47431
meuserforcongress.com,47426
electgregsteube.com,47422
seanmaloney.com,47411
waff.com,47405
dougforgeorgia.com,47405
dutchforcongress.com,47396
viscloskyforcongress.us,47386
mikedoyleforcongress.com,47386
himesforcongress.com,47385
abc7ny.com,47380
rokhanna.com,47375
bobbyscottforcongress.com,47371
welchforcongress.com,47370
markgreentn.com,47367
delgadoforcongress.com,47351
peteaguilar.com,47349
schneiderforcongress.com,47340
rashidaforcongress.com,47326
voteyvette.com,47314
abbyfinkenauer.com,47299
matsuiforcongress.com,47298
gerryconnolly.com,47297
delbeneforcongress.com,47296
hankforcongress.com,47292
sethmoulton.com,47286
mikekellyforcongress.com,47286
douglamalfa.com,47284
electrodney.com,47255
harleyforcongress.com,47246
bryansteil.com,47213
mad4pa.com,47213
gracefornewyork.com,47209
floridaphoenix.com,47208
benraylujan.com,47207
charliecrist.com,47196
angiecraig.com,47163
johnjoyceforcongress.com,47151
cheneyforwyoming.com,47139
jackiespeier.org,47136
earlblumenauer.com,47127
keatingforcongress.com,47118
ctpost.com,47118
cloudforcongress.com,47100
juliabrownley.com,47098
gregformontana.com,47095
cooperforcongress.com,47092
conorlamb.com,47088
dustyjohnson.com,47084
allawson.com,47080
fredupton.com,47058
edcase.com,47051
noaa.gov,47042
wcvb.com,47033
donnashalala.com,47030
votetimmons.com,47026
loebsackforcongress.org,47008
standard.net,47007
dailypress.com,47006
reason.com,47000
guyforpa.com,46976
ericswalwell.com,46974
voteanthonygonzalez.com,46973
devinnunes.com,46972
alaskansfordonyoung.com,46965
petestauberforcongress.com,46948
garamendi.org,46941
johnmoolenaarforcongress.com,46940
benmcadams.com,46938
stevenhorsford.com,46922
kirkpatrickforcongress.com,46890
davidtrone.com,46868
martharoby.com,46856
jaredgoldenforcongress.com,46854
malinowskifornj.com,46843
annwagner.com,46842
chrissyhoulahanforcongress.com,46836
robinkellyforcongress.org,46830
debbiewassermanschultz.com,46828
harderforcongress.com,46825
abcnews4.com,46823
armstrongnd.com,46816
hakeemjeffries.com,46806
debbieleskoforcongress.com,46793
cheddar.com,46780
wset.com,46773
bergmanforcongress.com,46772
mikelevin.org,46772
abigailspanberger.com,46770
elaineforcongress.com,46756
debbiemucarselpowell.com,46752
beattyforcongress.com,46752
mikejohnsonforlouisiana.com,46750
josh4congress.com,46746
wavy.com,46728
tomcoleforcongress.com,46694
ayannapressley.com,46688
brucewesterman.com,46676
dannewhouse.com,46674
cindyaxneforcongress.com,46669
loisfrankelforcongress.com,46658
stlamerican.com,46622
jimjordanforcongress.com,46608
drkimschrier.com,46592
fox40.com,46584
veronicaescobar.com,46575
wmtw.com,46567
jimcosta.com,46544
biggsforcongress.com,46519
scottpeters.com,46476
rfdtv.com,46452
sheilajacksonlee18.com,46404
kathleenrice.com,46401
vandrewforcongress.com,46399
pressdemocrat.com,46352
andybarrforcongress.com,46349
davidsonforcongress.com,46286
messenger-inquirer.com,46274
chiproy.com,46242
lancegooden.com,46222
bjm.org,46217
lipinskiforcongress.com,46141
independent.co.uk,46089
econlib.org,46085
derekkilmer.com,46081
desertsun.com,45990
capitalgazette.com,45980
newscentermaine.com,45978
tjcoxforcongress.com,45971
khq.com,45952
bilirakisforcongress.com,45875
farmanddairy.com,45810
hernforcongress.com,45781
denverforcongress.com,45701
ktbs.com,45673
votetipton.com,45671
hurdforcongress.com,45541
chronline.com,45495
qns.com,45425
wmdt.com,45369
mullinforcongress.com,45226
953mnc.com,45225
mynorthwest.com,45122
uticaod.com,45087
katv.com,45071
nbcmiami.com,44975
miami.edu,44938
azpm.org,44925
jamescomer.com,44868
votevargas.com,44852
wlbt.com,44815
wndu.com,44752
asmdc.org,44745
news8000.com,44722
higginsforcongress.com,44683
estesforcongress.com,44658
montgomerynews.com,44443
katu.com,44434
quigleyforcongress.com,44366
fox17online.com,44363
wtok.com,44338
wgowam.com,44276
ktvu.com,44239
supportfort.com,44135
mooneyforcongress.com,44117
stevescalise.com,44044
fox10phoenix.com,43997
delcotimes.com,43970
theoakleafnews.com,43922
aderholtforcongress.org,43917
boston.gov,43905
thebrunswicknews.com,43865
scnow.com,43721
missourinet.com,43721
click2houston.com,43713
pramilaforcongress.com,43692
linkedin.com,43570
federalnewsnetwork.com,43337
marcialfudge.com,43294
heraldtribune.com,43262
citizensvoice.com,43089
montereycountyweekly.com,42961
insidehighered.com,42908
kqed.org,42742
fox13memphis.com,42713
virginiamercury.com,42661
spacenews.com,42507
10tv.com,42497
newyorker.com,42484
mikethompson.com,42481
abc13.com,42468
kstp.com,42388
journalnow.com,42380
readingeagle.com,42360
amashforcongress.com,42303
billpascrell.com,42208
wglt.org,42127
times-news.com,42004
foxcarolina.com,41894
timesuniononline.com,41728
khou.com,41683
ocasiocortez.com,41528
fergusonforgeorgia.com,41343
kaygranger.com,41300
krdo.com,41295
readsludge.com,41187
wbaltv.com,41066
mobrooksforcongress.com,40920
imdb.com,40874
fortune.com,40859
mysuncoast.com,40805
wkrn.com,40780
theatlantic.com,40724
wgbh.org,40696
joinadrian.com,40664
manisteenews.com,40643
pamplinmedia.com,40591
kendrahorn.com,40563
salisburypost.com,40411
malegislature.gov,40394
local12.com,40392
johnrutherfordforcongress.com,40302
baseball-almanac.com,40117
local10.com,40081
wave3.com,39990
bradenton.com,39902
townandcountrymag.com,39896
nationalreview.com,39854
votedoggett.com,39853
westword.com,39817
courierpress.com,39805
dnronline.com,39756
kslnewsradio.com,39745
andykimmusic.com,39692
people.com,39650
mikerogersforcongress.com,39648
tribtoday.com,39638
wdbj7.com,39634
wkyt.com,39630
tylerpaper.com,39305
smithgill.com,38889
lbpost.com,38657
thetelegraph.com,38645
bnd.com,38612
fredericawilsonforcongress.com,38572
oleantimesherald.com,38551
sacbee.com,38496
foreignpolicy.com,38442
francisrooney.com,38349
wfsb.com,38261
wdet.org,38251
ase.org,38035
argus-press.com,37909
kennedyforma.com,37838
santamariasun.com,37808
joemeansjobs.com,37776
nbclosangeles.com,37378
dailygazette.com,37306
nbc25news.com,37210
tcpalm.com,37202
fox4news.com,37157
womackforcongress.com,37125
kwwl.com,37123
pressherald.com,37110
wwnytv.com,36968
govtech.com,36930
wskg.org,36929
medium.com,36922
stlpublicradio.org,36905
kob.com,36820
kwqc.com,36803
wfaa.com,36794
thecourier.com,36744
krqe.com,36703
thenation.com,36666
scottforga.com,36658
dailybulletin.com,36643
kiiitv.com,36579
congressmangregorymeeks.com,36381
floridatoday.com,36352
app.com,36283
somerset-kentucky.com,36160
theatlantavoice.com,36151
kyma.com,36092
jodyhice.com,36050
wpsdlocal6.com,36030
tulsigabbard.com,35960
wcjb.com,35943
wenatcheeworld.com,35803
kgw.com,35671
maxroseforcongress.com,35626
dailyprogress.com,35604
abc3340.com,35563
burlingtoncountytimes.com,35546
nbc15.com,35519
votetomrice.com,35496
spacecoastdaily.com,35484
nhl.com,35424
wbko.com,35414
nbcdfw.com,35369
hpherald.com,35275
sabr.org,35234
kget.com,35168
indianz.com,35134
vernbuchanan.com,35115
paultonko.com,35072
siouxcityjournal.com,35056
newsandsentinel.com,35030
rossspano.com,35009
wvgazettemail.com,34950
ncpolicywatch.com,34946
washingtontimes.com,34872
duluthnewstribune.com,34854
sjvsun.com,34836
mdjonline.com,34826
riverreporter.com,34749
journal-news.com,34745
tucson.com,34717
burgessforcongress.org,34665
princewilliamtimes.com,34619
lacyclay.org,34588
lowellsun.com,34485
wate.com,34480
kgou.org,34416
citizensforethics.org,34409
wtap.com,34399
scottdesjarlais.com,34355
cooperforassembly.com,34353
cleaverforcongress.com,34202
indianapublicmedia.org,34143
wbfo.org,34119
massispost.com,34098
fox13now.com,34089
kusi.com,33934
3newsnow.com,33763
spotify.com,33711
bridgemi.com,33664
wistv.com,33624
newstribune.com,33542
nationbuilder.com,33522
ydr.com,33490
riverfronttimes.com,33438
lmtonline.com,33385
kitv.com,33368
wmicentral.com,33359
cwuobserver.com,33335
aldianews.com,33317
cedricrichmond.com,33282
paysonroundup.com,33196
covnews.com,33168
americanbanker.com,33109
washingtonblade.com,32984
captainhiggins.com,32951
kmbc.com,32943
wsjm.com,32934
thebrownandwhite.com,32896
justsecurity.org,32854
silive.com,32837
foxla.com,32688
nfl.com,32644
pasoroblesdailynews.com,32639
wpr.org,32516
texarkanagazette.com,32501
safetyandhealthmagazine.com,32459
albanyherald.com,32439
pahomepage.com,32395
bloombergtax.com,32355
abc7.com,32344
njspotlight.com,32332
armenianweekly.com,32325
cw34.com,32156
statesmanjournal.com,32010
kxan.com,32003
thestarpress.com,31941
northglenn-thorntonsentinel.com,31933
pe.com,31874
urbanmilwaukee.com,31807
pressofatlanticcity.com,31735
as.com,31717
loudountimes.com,31598
wpri.com,31597
communityimpact.com,31547
wsmv.com,31369
thedailystar.com,31362
defensenews.com,31282
fox6now.com,31253
progressiverailroading.com,31235
utilitydive.com,31209
wgem.com,31205
brownsvilleherald.com,31190
fox5atlanta.com,31128
cleveland19.com,31071
live5news.com,31014
abc12.com,30875
rafu.com,30786
wishtv.com,30626
sent-trib.com,30623
cbs19news.com,30599
corvallisadvocate.com,30575
timesofsandiego.com,30466
wkbw.com,30430
kcbd.com,30316
wnypapers.com,30293
history.com,30275
tennessean.com,30233
radioiowa.com,30157
qchron.com,30093
fox10tv.com,29905
king5.com,29901
inlander.com,29890
wtop.com,29888
myfoxzone.com,29854
goerie.com,29733
wtnh.com,29706
5newsonline.com,29683
recordnet.com,29677
billflores.com,29667
clevelandjewishnews.com,29654
petersonforcongress.com,29629
engelforcongress.com,29587
abc15.com,29565
johnshimkus.com,29556
militarytimes.com,29472
beaconjournal.com,29439
buckslocalnews.com,29398
