"qry","qry_clean","governor","congress","candidate","state","district","party","chamber","date_started_position","full_term","relevance_score","in_data","house_analysis_include"
"Antonio Delgado","Antonio Delgado",FALSE,TRUE,FALSE,"NY",19,"Democrat","Rep","3-Jan-19",1,6,1,1
"Paul Tonko","Paul Tonko",FALSE,TRUE,FALSE,"NY",20,"Democrat","Rep","3-Jan-13",1,6,1,1
"Elise Stefanik","Elise Stefanik",FALSE,TRUE,FALSE,"NY",21,"Republican","Rep","3-Jan-15",1,6,1,1
"Anthony Brindisi","Anthony Brindisi",FALSE,TRUE,FALSE,"NY",22,"Democrat","Rep","3-Jan-19",1,6,1,1
"Tom Reed","Tom Reed",FALSE,TRUE,FALSE,"NY",23,"Republican","Rep","3-Jan-13",1,6,1,1
"John Katko","John Katko",FALSE,TRUE,FALSE,"NY",24,"Republican","Rep","3-Jan-15",1,6,1,1
"Joseph Morelle","Joseph Morelle",FALSE,TRUE,FALSE,"NY",25,"Democrat","Rep","13-Nov-18",1,6,1,1
"Brian Higgins","Brian Higgins",FALSE,TRUE,FALSE,"NY",26,"Democrat","Rep","3-Jan-13",1,5,1,1
"Chris Collins","Chris Collins",FALSE,TRUE,FALSE,"NY",27,"Republican","Rep","3-Jan-13",0,NA,0,NA
"Chris Jacobs","Chris Jacobs",FALSE,TRUE,FALSE,"NY",27,"Republican","Rep","23-Jun-20",0,NA,0,NA
"Steve Chabot","Steve Chabot",FALSE,TRUE,FALSE,"OH",1,"Republican","Rep","3-Jan-11",1,6,1,1
"Brad Wenstrup","Brad Wenstrup",FALSE,TRUE,FALSE,"OH",2,"Republican","Rep","3-Jan-13",1,6,1,1
"Joyce Beatty","Joyce Beatty",FALSE,TRUE,FALSE,"OH",3,"Democrat","Rep","3-Jan-13",1,6,1,1
"Jim Jordan","Jim Jordan",FALSE,TRUE,FALSE,"OH",4,"Republican","Rep","3-Jan-07",1,5,1,1
"Bob Latta","Bob Latta",FALSE,TRUE,FALSE,"OH",5,"Republican","Rep","11-Dec-07",1,6,1,1
"Bill Johnson","Bill Johnson",FALSE,TRUE,FALSE,"OH",6,"Republican","Rep","3-Jan-11",1,3,1,1
"Bob Gibbs","Bob Gibbs",FALSE,TRUE,FALSE,"OH",7,"Republican","Rep","3-Jan-13",1,4,1,1
"Warren Davidson","Warren Davidson",FALSE,TRUE,FALSE,"OH",8,"Republican","Rep","7-Jun-16",1,6,1,1
"Marcy Kaptur","Marcy Kaptur",FALSE,TRUE,FALSE,"OH",9,"Democrat","Rep","3-Jan-83",1,6,1,1
"Mike Turner","Mike Turner",FALSE,TRUE,FALSE,"OH",10,"Republican","Rep","3-Jan-13",1,5,1,1
"Marcia Fudge","Marcia Fudge",FALSE,TRUE,FALSE,"OH",11,"Democrat","Rep","18-Nov-08",1,6,1,1
"Troy Balderson","Troy Balderson",FALSE,TRUE,FALSE,"OH",12,"Republican","Rep","5-Sep-18",1,6,1,1
"Tim Ryan","Tim Ryan",FALSE,TRUE,TRUE,"OH",13,"Democrat","Rep","3-Jan-03",1,6,1,1
"David Joyce","David Joyce",FALSE,TRUE,FALSE,"OH",14,"Republican","Rep","3-Jan-13",1,4,1,1
"Steve Stivers","Steve Stivers",FALSE,TRUE,FALSE,"OH",15,"Republican","Rep","3-Jan-11",1,6,1,1
"Anthony Gonzalez","Anthony Gonzalez",FALSE,TRUE,FALSE,"OH",16,"Republican","Rep","3-Jan-19",1,5,1,1
"Kevin Hern","Kevin Hern",FALSE,TRUE,FALSE,"OK",1,"Republican","Rep","13-Nov-18",1,6,1,1
"Markwayne Mullin","Markwayne Mullin",FALSE,TRUE,FALSE,"OK",2,"Republican","Rep","3-Jan-13",1,6,1,1
"Frank Lucas","Frank Lucas",FALSE,TRUE,FALSE,"OK",3,"Republican","Rep","10-May-94",1,5,1,1
"Tom Cole","Tom Cole",FALSE,TRUE,FALSE,"OK",4,"Republican","Rep","3-Jan-03",1,4,1,1
"Kendra Horn","Kendra Horn",FALSE,TRUE,FALSE,"OK",5,"Democrat","Rep","3-Jan-19",1,6,1,1
"Suzanne Bonamici","Suzanne Bonamici",FALSE,TRUE,FALSE,"OR",1,"Democrat","Rep","31-Jan-12",1,6,1,1
"Greg Walden","Greg Walden",FALSE,TRUE,FALSE,"OR",2,"Republican","Rep","3-Jan-99",1,4,1,1
"Earl Blumenauer","Earl Blumenauer",FALSE,TRUE,FALSE,"OR",3,"Democrat","Rep","21-May-96",1,6,1,1
"Peter DeFazio","Peter DeFazio",FALSE,TRUE,FALSE,"OR",4,"Democrat","Rep","3-Jan-87",1,6,1,1
"Kurt Schrader","Kurt Schrader",FALSE,TRUE,FALSE,"OR",5,"Democrat","Rep","3-Jan-09",1,6,1,1
"Brian Fitzpatrick","Brian Fitzpatrick",FALSE,TRUE,FALSE,"PA",1,"Republican","Rep","3-Jan-17",1,6,1,1
"Brendan Boyle","Brendan Boyle",FALSE,TRUE,FALSE,"PA",2,"Democrat","Rep","3-Jan-15",1,6,1,1
"Dwight Evans","Dwight Evans",FALSE,TRUE,FALSE,"PA",3,"Democrat","Rep","14-Nov-16",1,6,1,1
"Madeleine Dean","Madeleine Dean",FALSE,TRUE,FALSE,"PA",4,"Democrat","Rep","3-Jan-19",1,6,1,1
"Mary Gay Scanlon","Mary Gay Scanlon",FALSE,TRUE,FALSE,"PA",5,"Democrat","Rep","13-Nov-18",1,6,1,1
"Chrissy Houlahan","Chrissy Houlahan",FALSE,TRUE,FALSE,"PA",6,"Democrat","Rep","3-Jan-19",1,6,1,1
"Susan Wild","Susan Wild",FALSE,TRUE,FALSE,"PA",7,"Democrat","Rep","27-Nov-18",1,6,1,1
"Matt Cartwright","Matt Cartwright",FALSE,TRUE,FALSE,"PA",8,"Democrat","Rep","3-Jan-13",1,6,1,1
"Dan Meuser","Dan Meuser",FALSE,TRUE,FALSE,"PA",9,"Republican","Rep","3-Jan-19",1,6,1,1
"Scott Perry","Scott Perry",FALSE,TRUE,FALSE,"PA",10,"Republican","Rep","3-Jan-13",1,6,1,1
"Lloyd Smucker","Lloyd Smucker",FALSE,TRUE,FALSE,"PA",11,"Republican","Rep","3-Jan-17",1,6,1,1
"Fred Keller","Fred Keller",FALSE,TRUE,FALSE,"PA",12,"Republican","Rep","21-May-19",0,6,1,1
"Tom Marino","Tom Marino",FALSE,TRUE,FALSE,"PA",12,"Republican","Rep","3-Jan-11",0,NA,0,NA
"John Joyce","John Joyce",FALSE,TRUE,FALSE,"PA",13,"Republican","Rep","3-Jan-19",1,4,1,1
"Guy Reschenthaler","Guy Reschenthaler",FALSE,TRUE,FALSE,"PA",14,"Republican","Rep","3-Jan-19",1,6,1,1
"Glenn Thompson","Glenn Thompson",FALSE,TRUE,FALSE,"PA",15,"Republican","Rep","3-Jan-09",1,6,1,1
"Mike Kelly","Mike Kelly",FALSE,TRUE,FALSE,"PA",16,"Republican","Rep","3-Jan-11",1,4,1,1
"Conor Lamb","Conor Lamb",FALSE,TRUE,FALSE,"PA",17,"Democrat","Rep","12-Apr-18",1,6,1,1
"Michael F. Doyle","Michael F. Doyle",FALSE,TRUE,FALSE,"PA",18,"Democrat","Rep","3-Jan-95",1,6,1,1
"Jenniffer González","Jenniffer Gonzalez",FALSE,TRUE,FALSE,"PR",0,"Republican","Rep","3-Jan-17",1,6,1,0
"David Cicilline","David Cicilline",FALSE,TRUE,FALSE,"RI",1,"Democrat","Rep","3-Jan-11",1,6,1,1
"James Langevin","James Langevin",FALSE,TRUE,FALSE,"RI",2,"Democrat","Rep","3-Jan-01",1,6,1,1
"Joe Cunningham","Joe Cunningham",FALSE,TRUE,FALSE,"SC",1,"Democrat","Rep","3-Jan-19",1,6,1,1
"Joe Wilson","Joe Wilson",FALSE,TRUE,FALSE,"SC",2,"Republican","Rep","18-Dec-01",1,6,1,1
"Jeff Duncan","Jeff Duncan",FALSE,TRUE,FALSE,"SC",3,"Republican","Rep","3-Jan-11",1,4,1,1
"William Timmons","William Timmons",FALSE,TRUE,FALSE,"SC",4,"Republican","Rep","3-Jan-19",1,4,1,1
"Ralph Norman","Ralph Norman",FALSE,TRUE,FALSE,"SC",5,"Republican","Rep","20-Jun-17",1,6,1,1
"Jim Clyburn","Jim Clyburn",FALSE,TRUE,FALSE,"SC",6,"Democrat","Rep","3-Jan-93",1,6,1,1
"Tom Rice","Tom Rice",FALSE,TRUE,FALSE,"SC",7,"Republican","Rep","3-Jan-13",1,5,1,1
"Dusty Johnson","Dusty Johnson",FALSE,TRUE,FALSE,"SD",0,"Republican","Rep","3-Jan-19",1,4,1,1
"Phil Roe","Phil Roe",FALSE,TRUE,FALSE,"TN",1,"Republican","Rep","3-Jan-09",1,5,1,1
"Tim Burchett","Tim Burchett",FALSE,TRUE,FALSE,"TN",2,"Republican","Rep","3-Jan-19",1,6,1,1
"Chuck Fleischmann","Chuck Fleischmann",FALSE,TRUE,FALSE,"TN",3,"Republican","Rep","3-Jan-11",1,6,1,1
"Scott DesJarlais","Scott DesJarlais",FALSE,TRUE,FALSE,"TN",4,"Republican","Rep","3-Jan-11",1,6,1,1
"Jim Cooper","Jim Cooper",FALSE,TRUE,FALSE,"TN",5,"Democrat","Rep","3-Jan-03",1,5,1,1
"John Rose","John Rose",FALSE,TRUE,FALSE,"TN",6,"Republican","Rep","3-Jan-19",1,4,1,1
"Mark E. Green","Mark E. Green",FALSE,TRUE,FALSE,"TN",7,"Republican","Rep","3-Jan-19",1,6,1,1
"David Kustoff","David Kustoff",FALSE,TRUE,FALSE,"TN",8,"Republican","Rep","3-Jan-17",1,5,1,1
"Steve Cohen","Steve Cohen",FALSE,TRUE,FALSE,"TN",9,"Democrat","Rep","3-Jan-07",1,3,1,1
"Louie Gohmert","Louie Gohmert",FALSE,TRUE,FALSE,"TX",1,"Republican","Rep","3-Jan-05",1,6,1,1
"Dan Crenshaw","Dan Crenshaw",FALSE,TRUE,FALSE,"TX",2,"Republican","Rep","3-Jan-19",1,6,1,1
"Van Taylor","Van Taylor",FALSE,TRUE,FALSE,"TX",3,"Republican","Rep","3-Jan-19",1,6,1,1
"John Ratcliffe","John Ratcliffe",FALSE,TRUE,FALSE,"TX",4,"Republican","Rep","3-Jan-15",0,6,1,0
"Lance Gooden","Lance Gooden",FALSE,TRUE,FALSE,"TX",5,"Republican","Rep","3-Jan-19",1,6,1,1
"Ron Wright","Ron Wright",FALSE,TRUE,FALSE,"TX",6,"Republican","Rep","3-Jan-19",1,5,1,1
"Lizzie Pannill Fletcher","Lizzie Pannill Fletcher",FALSE,TRUE,FALSE,"TX",7,"Democrat","Rep","3-Jan-19",1,6,1,1
"Kevin Brady","Kevin Brady",FALSE,TRUE,FALSE,"TX",8,"Republican","Rep","3-Jan-97",1,6,1,1
"Al Green","Al Green",FALSE,TRUE,FALSE,"TX",9,"Democrat","Rep","3-Jan-05",1,5,1,1
"Michael McCaul","Michael McCaul",FALSE,TRUE,FALSE,"TX",10,"Republican","Rep","3-Jan-05",1,6,1,1
"Mike Conaway","Mike Conaway",FALSE,TRUE,FALSE,"TX",11,"Republican","Rep","3-Jan-05",1,6,1,1
"Kay Granger","Kay Granger",FALSE,TRUE,FALSE,"TX",12,"Republican","Rep","3-Jan-97",1,6,1,1
"Mac Thornberry","Mac Thornberry",FALSE,TRUE,FALSE,"TX",13,"Republican","Rep","3-Jan-95",1,6,1,1
"Randy Weber","Randy Weber",FALSE,TRUE,FALSE,"TX",14,"Republican","Rep","3-Jan-13",1,6,1,1
"Vicente Gonzalez","Vicente Gonzalez",FALSE,TRUE,FALSE,"TX",15,"Democrat","Rep","3-Jan-17",1,6,1,1
"Veronica Escobar","Veronica Escobar",FALSE,TRUE,FALSE,"TX",16,"Democrat","Rep","3-Jan-19",1,6,1,1
"Bill Flores","Bill Flores",FALSE,TRUE,FALSE,"TX",17,"Republican","Rep","3-Jan-11",1,6,1,1
"Sheila Jackson Lee","Sheila Jackson Lee",FALSE,TRUE,FALSE,"TX",18,"Democrat","Rep","3-Jan-95",1,6,1,1
"Jodey Arrington","Jodey Arrington",FALSE,TRUE,FALSE,"TX",19,"Republican","Rep","3-Jan-17",1,6,1,1
"Joaquín Castro","Joaqui­n Castro",FALSE,TRUE,FALSE,"TX",20,"Democrat","Rep","3-Jan-13",1,NA,1,NA
"Chip Roy","Chip Roy",FALSE,TRUE,FALSE,"TX",21,"Republican","Rep","3-Jan-19",1,6,1,1
"Pete Olson","Pete Olson",FALSE,TRUE,FALSE,"TX",22,"Republican","Rep","3-Jan-09",1,6,1,1
"Will Hurd","Will Hurd",FALSE,TRUE,FALSE,"TX",23,"Republican","Rep","3-Jan-15",1,6,1,1
"Kenny Marchant","Kenny Marchant",FALSE,TRUE,FALSE,"TX",24,"Republican","Rep","3-Jan-05",1,6,1,1
"Roger Williams","Roger Williams",FALSE,TRUE,FALSE,"TX",25,"Republican","Rep","3-Jan-13",1,1,1,0
"Michael C. Burgess","Michael C. Burgess",FALSE,TRUE,FALSE,"TX",26,"Republican","Rep","3-Jan-03",1,6,1,1
"Michael Cloud","Michael Cloud",FALSE,TRUE,FALSE,"TX",27,"Republican","Rep","10-Jul-18",1,6,1,1
"Henry Cuellar","Henry Cuellar",FALSE,TRUE,FALSE,"TX",28,"Democrat","Rep","3-Jan-05",1,6,1,1
"Sylvia Garcia","Sylvia Garcia",FALSE,TRUE,FALSE,"TX",29,"Democrat","Rep","3-Jan-19",1,6,1,1
"Eddie Bernice Johnson","Eddie Bernice Johnson",FALSE,TRUE,FALSE,"TX",30,"Democrat","Rep","3-Jan-93",1,6,1,1
"John Carter","John Carter",FALSE,TRUE,FALSE,"TX",31,"Republican","Rep","3-Jan-03",1,0,1,0
"Colin Allred","Colin Allred",FALSE,TRUE,FALSE,"TX",32,"Democrat","Rep","3-Jan-19",1,6,1,1
"Marc Veasey","Marc Veasey",FALSE,TRUE,FALSE,"TX",33,"Democrat","Rep","3-Jan-13",1,6,1,1
"Filemon Vela Jr.","Filemon Vela Jr.",FALSE,TRUE,FALSE,"TX",34,"Democrat","Rep","3-Jan-13",1,6,1,1
"Lloyd Doggett","Lloyd Doggett",FALSE,TRUE,FALSE,"TX",35,"Democrat","Rep","3-Jan-95",1,6,1,1
"Brian Babin","Brian Babin",FALSE,TRUE,FALSE,"TX",36,"Republican","Rep","3-Jan-15",1,6,1,1
"Rob Bishop","Rob Bishop",FALSE,TRUE,FALSE,"UT",1,"Republican","Rep","3-Jan-03",1,5,1,1
"Chris Stewart","Chris Stewart",FALSE,TRUE,FALSE,"UT",2,"Republican","Rep","3-Jan-13",1,5,1,1
"John Curtis","John Curtis",FALSE,TRUE,FALSE,"UT",3,"Republican","Rep","13-Nov-17",1,2,1,0
"Ben McAdams","Ben McAdams",FALSE,TRUE,FALSE,"UT",4,"Democrat","Rep","3-Jan-19",1,6,1,1
"Rob Wittman","Rob Wittman",FALSE,TRUE,FALSE,"VA",1,"Republican","Rep","11-Dec-07",1,6,1,1
"Elaine Luria","Elaine Luria",FALSE,TRUE,FALSE,"VA",2,"Democrat","Rep","3-Jan-19",1,6,1,1
"Bobby Scott","Bobby Scott",FALSE,TRUE,FALSE,"VA",3,"Democrat","Rep","3-Jan-93",1,4,1,1
"Donald McEachin","Donald McEachin",FALSE,TRUE,FALSE,"VA",4,"Democrat","Rep","3-Jan-17",1,6,1,1
"Denver Riggleman","Denver Riggleman",FALSE,TRUE,FALSE,"VA",5,"Republican","Rep","3-Jan-19",1,6,1,1
"Ben Cline","Ben Cline",FALSE,TRUE,FALSE,"VA",6,"Republican","Rep","3-Jan-19",1,6,1,1
"Abigail Spanberger","Abigail Spanberger",FALSE,TRUE,FALSE,"VA",7,"Democrat","Rep","3-Jan-19",1,6,1,1
"Don Beyer","Don Beyer",FALSE,TRUE,FALSE,"VA",8,"Democrat","Rep","3-Jan-15",1,6,1,1
"Morgan Griffith","Morgan Griffith",FALSE,TRUE,FALSE,"VA",9,"Republican","Rep","3-Jan-11",1,6,1,1
"Jennifer Wexton","Jennifer Wexton",FALSE,TRUE,FALSE,"VA",10,"Democrat","Rep","3-Jan-19",1,6,1,1
"Gerry Connolly","Gerry Connolly",FALSE,TRUE,FALSE,"VA",11,"Democrat","Rep","3-Jan-09",1,5,1,1
"Stacey Plaskett","Stacey Plaskett",FALSE,TRUE,FALSE,"VI",0,"Democrat","Rep","3-Jan-15",1,6,1,0
"Peter Welch","Peter Welch",FALSE,TRUE,FALSE,"VT",0,"Democrat","Rep","3-Jan-07",1,6,1,1
"Suzan DelBene","Suzan DelBene",FALSE,TRUE,FALSE,"WA",1,"Democrat","Rep","13-Nov-12",1,6,1,1
"Rick Larsen","Rick Larsen",FALSE,TRUE,FALSE,"WA",2,"Democrat","Rep","3-Jan-01",1,6,1,1
"Jaime Herrera Beutler","Jaime Herrera Beutler",FALSE,TRUE,FALSE,"WA",3,"Republican","Rep","3-Jan-11",1,5,1,1
"Dan Newhouse","Dan Newhouse",FALSE,TRUE,FALSE,"WA",4,"Republican","Rep","3-Jan-15",1,6,1,1
"Cathy McMorris Rodgers","Cathy McMorris Rodgers",FALSE,TRUE,FALSE,"WA",5,"Republican","Rep","3-Jan-05",1,6,1,1
"Derek Kilmer","Derek Kilmer",FALSE,TRUE,FALSE,"WA",6,"Democrat","Rep","3-Jan-13",1,6,1,1
"Pramila Jayapal","Pramila Jayapal",FALSE,TRUE,FALSE,"WA",7,"Democrat","Rep","3-Jan-17",1,6,1,1
"Kim Schrier","Kim Schrier",FALSE,TRUE,FALSE,"WA",8,"Democrat","Rep","3-Jan-19",1,6,1,1
"Adam Smith","Adam Smith",FALSE,TRUE,FALSE,"WA",9,"Democrat","Rep","3-Jan-97",1,5,1,1
"Denny Heck","Denny Heck",FALSE,TRUE,FALSE,"WA",10,"Democrat","Rep","3-Jan-13",1,5,1,1
"Bryan Steil","Bryan Steil",FALSE,TRUE,FALSE,"WI",1,"Republican","Rep","3-Jan-19",1,6,1,1
"Mark Pocan","Mark Pocan",FALSE,TRUE,FALSE,"WI",2,"Democrat","Rep","3-Jan-13",1,6,1,1
"Ron Kind","Ron Kind",FALSE,TRUE,FALSE,"WI",3,"Democrat","Rep","3-Jan-97",1,6,1,1
"Gwen Moore","Gwen Moore",FALSE,TRUE,FALSE,"WI",4,"Democrat","Rep","3-Jan-05",1,6,1,1
"Jim Sensenbrenner","Jim Sensenbrenner",FALSE,TRUE,FALSE,"WI",5,"Republican","Rep","3-Jan-79",1,6,1,1
"Glenn Grothman","Glenn Grothman",FALSE,TRUE,FALSE,"WI",6,"Republican","Rep","3-Jan-15",1,6,1,1
"Sean Duffy","Sean Duffy",FALSE,TRUE,FALSE,"WI",7,"Republican","Rep","3-Jan-11",0,NA,0,NA
"Tom Tiffany","Tom Tiffany",FALSE,TRUE,FALSE,"WI",7,"Republican","Rep","12-May-20",0,NA,0,NA
"Mike Gallagher","Mike Gallagher",FALSE,TRUE,FALSE,"WI",8,"Republican","Rep","3-Jan-17",1,6,1,1
"David McKinley","David McKinley",FALSE,TRUE,FALSE,"WV",1,"Republican","Rep","3-Jan-11",1,6,1,1
"Alex Mooney","Alex Mooney",FALSE,TRUE,FALSE,"WV",2,"Republican","Rep","3-Jan-15",1,6,1,1
"Carol Miller","Carol Miller",FALSE,TRUE,FALSE,"WV",3,"Republican","Rep","3-Jan-19",1,2,1,0
"Liz Cheney","Liz Cheney",FALSE,TRUE,FALSE,"WY",0,"Republican","Rep","3-Jan-17",1,6,1,1
